IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65,-75.44
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41,-99.68
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04,-106.61
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.45,-98.42
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.54,-84.19
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25,-70.06
ACT,Waco Regional Airport,Waco,TX,USA,31.61,-97.23
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.98,-124.11
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.46,-74.58
ADK,Adak Airport,Adak,AK,USA,51.88,-176.65
ADQ,Kodiak Airport,Kodiak,AK,USA,57.75,-152.49
AEX,Alexandria International Airport,Alexandria,LA,USA,31.33,-92.55
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.37,-81.96
AKN,King Salmon Airport,King Salmon,AK,USA,58.68,-156.65
ALB,Albany International Airport,Albany,NY,USA,42.75,-73.80
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.56,-92.40
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.22,-101.71
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17,-150.00
APN,Alpena County Regional Airport,Alpena,MI,USA,45.08,-83.56
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22,-106.87
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64,-84.43
ATW,Appleton International Airport,Appleton,WI,USA,44.26,-88.52
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19,-97.67
AVL,Asheville Regional Airport,Asheville,NC,USA,35.44,-82.54
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.34,-75.72
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23,-85.55
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.94,-72.68
BET,Bethel Airport,Bethel,AK,USA,60.78,-161.84
BFL,Meadows Field,Bakersfield,CA,USA,35.43,-119.06
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.21,-75.98
BGR,Bangor International Airport,Bangor,ME,USA,44.81,-68.83
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56,-86.75
BIL,Billings Logan International Airport,Billings,MT,USA,45.81,-108.54
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77,-100.75
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.51,-94.93
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79,-122.54
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.48,-88.92
BNA,Nashville International Airport,Nashville,TN,USA,36.12,-86.68
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56,-116.22
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36,-71.01
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95,-94.02
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.26,-81.47
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49,-67.13
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.40,-94.14
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.91,-97.43
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.29,-156.77
BTM,Bert Mooney Airport,Butte,MT,USA,45.95,-112.50
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53,-91.15
BTV,Burlington International Airport,Burlington,VT,USA,44.47,-73.15
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94,-78.73
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20,-118.36
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.18,-76.67
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.78,-111.15
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.94,-81.12
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.92,-81.44
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70,-113.10
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49,-145.48
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78,-124.24
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.04,-85.20
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.14,-78.45
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.90,-80.04
